,base,clouds,cod,coord,dt,id,main,message,name,rain,sys,visibility,weather,wind
107,stations,{'all': 0},200,"{'lon': -0.6, 'lat': 45.6}",1535925600.0,3026644.0,"{'temp': 17.44, 'pressure': 1017, 'humidity': 48, 'temp_min': 17, 'temp_max': 18}",,Souillac,,"{'type': 1, 'id': 5528, 'message': 0.1636, 'country': 'FR', 'sunrise': 1535865946, 'sunset': 1535913418}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 4.67, 'deg': 46.5093}"
108,stations,{'all': 1},200,"{'lon': -77.74, 'lat': 39.62}",1535926500.0,4372777.0,"{'temp': 30.2, 'pressure': 1022, 'humidity': 53, 'temp_min': 29, 'temp_max': 31}",,Vardo,,"{'type': 1, 'id': 1333, 'message': 0.2699, 'country': 'US', 'sunrise': 1535884857, 'sunset': 1535931537}",16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 2.1, 'deg': 170}"
109,stations,{'all': 12},200,"{'lon': 50.81, 'lat': 9.49}",1535927760.0,64814.0,"{'temp': 22.09, 'pressure': 1015.67, 'humidity': 82, 'temp_min': 22.09, 'temp_max': 22.09, 'sea_level': 1020.7, 'grnd_level': 1015.67}",,Bandarbeyla,,"{'message': 0.0042, 'country': 'SO', 'sunrise': 1535855265, 'sunset': 1535899472}",,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 11.92, 'deg': 204.009}"
110,stations,{'all': 0},200,"{'lon': -43.81, 'lat': -20.25}",1535922000.0,3460954.0,"{'temp': 24, 'pressure': 1017, 'humidity': 50, 'temp_min': 24, 'temp_max': 24}",,Praia,,"{'type': 1, 'id': 4459, 'message': 0.0457, 'country': 'BR', 'sunrise': 1535878936, 'sunset': 1535921232}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 4.6, 'deg': 60}"
111,stations,{'all': 32},200,"{'lon': 103.42, 'lat': 4.25}",1535925600.0,1732945.0,"{'temp': 23, 'pressure': 1009, 'humidity': 94, 'temp_min': 23, 'temp_max': 23}",,Cukai,,"{'type': 1, 'id': 8128, 'message': 0.0035, 'country': 'MY', 'sunrise': 1535842813, 'sunset': 1535886680}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",{'speed': 1.5}
112,stations,{'all': 75},200,"{'lon': 57.76, 'lat': -20.21}",1535925600.0,1106643.0,"{'temp': 22, 'pressure': 1021, 'humidity': 78, 'temp_min': 22, 'temp_max': 22}",,Quatre Cocos,,"{'type': 1, 'id': 6729, 'message': 0.0102, 'country': 'MU', 'sunrise': 1535854573, 'sunset': 1535896852}",10000.0,"[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09n'}]","{'speed': 5.1, 'deg': 110}"
113,stations,{'all': 8},200,"{'lon': 80.87, 'lat': 59.06}",1535927762.0,1504382.0,"{'temp': 6.29, 'pressure': 1026.7, 'humidity': 84, 'temp_min': 6.29, 'temp_max': 6.29, 'sea_level': 1034.76, 'grnd_level': 1026.7}",,Kargasok,,"{'message': 0.003, 'country': 'RU', 'sunrise': 1535845044, 'sunset': 1535895185}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02n'}]","{'speed': 2.52, 'deg': 21.0093}"
114,stations,{'all': 64},200,"{'lon': -39.27, 'lat': -17.73}",1535927762.0,3466980.0,"{'temp': 24.19, 'pressure': 1031.88, 'humidity': 100, 'temp_min': 24.19, 'temp_max': 24.19, 'sea_level': 1031.92, 'grnd_level': 1031.88}",,Caravelas,,"{'message': 0.0034, 'country': 'BR', 'sunrise': 1535877761, 'sunset': 1535920226}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 5.82, 'deg': 50.0093}"
115,stations,{'all': 0},200,"{'lon': 6.28, 'lat': 51.14}",1535925300.0,2813390.0,"{'temp': 18.37, 'pressure': 1021, 'humidity': 52, 'temp_min': 17, 'temp_max': 19}",,Wegberg,,"{'type': 1, 'id': 4973, 'message': 0.0069, 'country': 'DE', 'sunrise': 1535863851, 'sunset': 1535912200}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 3.6, 'deg': 80}"
116,stations,{'all': 80},200,"{'lon': 27.91, 'lat': -33.02}",1535927763.0,1006984.0,"{'temp': 17.09, 'pressure': 1021.67, 'humidity': 100, 'temp_min': 17.09, 'temp_max': 17.09, 'sea_level': 1026.17, 'grnd_level': 1021.67}",,East London,{'3h': 1.88},"{'message': 0.004, 'country': 'ZA', 'sunrise': 1535862224, 'sunset': 1535903537}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 12.22, 'deg': 256.009}"
117,,,404,,,,,city not found,,,,,,
118,stations,{'all': 12},200,"{'lon': 30.79, 'lat': 59.7}",1535923800.0,546105.0,"{'temp': 13, 'pressure': 1028, 'humidity': 100, 'temp_min': 13, 'temp_max': 13}",,Nikolskoye,,"{'type': 1, 'id': 7267, 'message': 0.0035, 'country': 'RU', 'sunrise': 1535856993, 'sunset': 1535907267}",2400.0,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",{'speed': 1}
119,stations,{'all': 48},200,"{'lon': 80.55, 'lat': 73.51}",1535927765.0,1507390.0,"{'temp': 6.74, 'pressure': 1031.4, 'humidity': 100, 'temp_min': 6.74, 'temp_max': 6.74, 'sea_level': 1031.8, 'grnd_level': 1031.4}",,Dikson,{'3h': 0.145},"{'message': 0.0062, 'country': 'RU', 'sunrise': 1535841321, 'sunset': 1535898918}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 7.67, 'deg': 285.509}"
120,,,404,,,,,city not found,,,,,,
121,stations,{'all': 90},200,"{'lon': 134.26, 'lat': 7.04}",1535925000.0,7671223.0,"{'temp': 27, 'pressure': 1009, 'humidity': 83, 'temp_min': 27, 'temp_max': 27}",,Kloulklubed,,"{'type': 1, 'id': 4054, 'message': 0.0097, 'country': 'PW', 'sunrise': 1535835320, 'sunset': 1535879371}",22530.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 2.6, 'deg': 230}"
